iter	Passed	Remaining
0	2	706
1	4	677
2	6	664
3	9	671
4	11	665
5	13	664
6	15	663
7	18	659
8	20	651
9	22	647
10	24	645
11	26	645
12	28	631
13	30	627
14	32	626
15	35	624
16	37	624
17	39	621
18	41	620
19	44	619
20	46	616
21	48	614
22	50	611
23	53	610
24	55	607
25	57	603
26	59	600
27	61	599
28	63	597
29	66	594
30	68	592
31	69	585
32	72	583
33	74	581
34	76	578
35	78	577
36	80	575
37	83	572
38	85	571
39	87	569
40	90	569
41	92	567
42	94	566
43	97	564
44	99	562
45	101	561
46	103	559
47	106	557
48	108	555
49	110	552
50	112	551
51	114	548
52	117	546
53	119	545
54	121	543
55	124	540
56	126	538
57	128	536
58	130	534
59	133	533
60	135	532
61	137	529
62	140	527
63	142	524
64	144	522
65	146	520
66	148	517
67	151	515
68	153	513
69	155	511
70	157	508
71	160	506
72	162	504
73	164	502
74	166	500
75	169	498
76	171	495
77	173	494
78	175	491
79	178	490
80	180	488
81	182	486
82	185	483
83	187	481
84	189	478
85	191	477
86	193	474
87	195	471
88	198	469
89	200	467
90	202	465
91	204	462
92	207	460
93	209	458
94	211	455
95	213	453
96	215	451
97	218	450
98	220	447
99	222	445
100	224	442
101	226	440
102	228	437
103	231	435
104	233	433
105	235	431
106	237	429
107	240	426
108	242	424
109	244	422
110	246	420
111	248	417
112	251	415
113	253	413
114	255	411
115	258	409
116	260	407
117	262	405
118	265	403
119	267	400
120	269	398
121	271	396
122	273	394
123	276	391
124	278	389
125	280	387
126	282	384
127	284	382
128	286	380
129	289	377
130	291	375
131	293	373
132	295	371
133	297	368
134	299	366
135	301	364
136	304	361
137	306	359
138	308	357
139	310	355
140	312	352
141	315	350
142	317	348
143	319	346
144	321	343
145	324	341
146	326	339
147	328	337
148	331	335
149	333	333
150	335	331
151	337	328
152	339	326
153	342	324
154	344	322
155	346	319
156	348	317
157	350	315
158	352	312
159	355	310
160	357	308
161	359	306
162	361	303
163	363	301
164	365	299
165	368	297
166	370	295
167	372	292
168	374	290
169	376	288
170	378	285
171	380	283
172	383	281
173	385	279
174	387	276
175	389	274
176	391	272
177	393	270
178	396	267
179	398	265
180	400	263
181	402	260
182	404	258
183	406	256
184	408	254
185	410	251
186	412	249
187	415	247
188	417	244
189	419	242
190	421	240
191	423	238
192	425	236
193	427	233
194	429	231
195	432	229
196	434	227
197	436	224
198	438	222
199	440	220
200	442	217
201	444	215
202	446	213
203	448	211
204	450	208
205	452	206
206	455	204
207	457	202
208	459	200
209	461	197
210	463	195
211	465	193
212	467	191
213	469	188
214	472	186
215	474	184
216	476	182
217	478	179
218	480	177
219	482	175
220	484	173
221	486	171
222	488	168
223	490	166
224	492	164
225	494	161
226	496	159
227	498	157
228	500	155
229	502	153
230	504	150
231	507	148
232	509	146
233	511	144
234	513	142
235	516	139
236	518	137
237	520	135
238	522	133
239	524	131
240	526	128
241	528	126
242	530	124
243	532	122
244	534	120
245	537	117
246	539	115
247	541	113
248	543	111
249	545	109
250	547	106
251	550	104
252	552	102
253	554	100
254	556	98
255	558	96
256	560	93
257	562	91
258	565	89
259	567	87
260	569	85
261	571	82
262	573	80
263	575	78
264	577	76
265	580	74
266	582	71
267	584	69
268	586	67
269	588	65
270	590	63
271	592	61
272	595	58
273	597	56
274	599	54
275	601	52
276	603	50
277	605	47
278	607	45
279	609	43
280	611	41
281	613	39
282	615	36
283	617	34
284	620	32
285	622	30
286	624	28
287	627	26
288	629	23
289	631	21
290	633	19
291	635	17
292	637	15
293	639	13
294	641	10
295	643	8
296	645	6
297	648	4
298	650	2
299	652	0
